timestamp,mode,temp,rh,co2,soil,sp_temp,sp_rh,sp_co2,temp_60s,rh_60s,co2_60s,humidifier_on,extractor_on,circulation_on,ssr_on,fan_pwm,humid_pwm,led_pwm
1765191473,auto,20.873333333333335,69.99199999999999,696.24529233258,0.8933333333333334,25.0,60.0,800.0,20.873333333333335,69.99199999999999,696.24529233258,0,0,1,0,0,0,0
1765191474,auto,20.87,69.994,696.471704632806,0.9766666666666667,25.0,60.0,800.0,20.87,69.994,696.471704632806,0,0,1,0,0,0,0
1765191475,auto,20.866666666666667,69.99600000000001,696.6901932429641,1.0366666666666668,25.0,60.0,800.0,20.866666666666667,69.99600000000001,696.6901932429641,0,0,1,0,0,0,0
1765191476,auto,20.863333333333333,69.998,697.0111352700749,1.0966666666666667,25.0,60.0,800.0,20.863333333333333,69.998,697.0111352700749,0,0,1,0,0,0,0
1765191477,auto,20.863333333333333,69.998,697.0111352700749,1.0966666666666667,25.0,60.0,800.0,20.863333333333333,69.998,697.0111352700749,0,0,1,0,0,0,0
1765191478,auto,20.86,70.0,697.3707946890523,1.1966666666666665,25.0,60.0,800.0,20.86,70.0,697.3707946890523,0,0,1,0,0,0,0
1765191479,auto,20.86,70.0,697.4305562823366,1.3233333333333333,25.0,60.0,800.0,20.86,70.0,697.4305562823366,0,0,1,0,0,0,0
1765191480,auto,20.856666666666666,70.0,697.1363893976356,1.4833333333333334,25.0,60.0,800.0,20.856666666666666,70.0,697.1363893976356,0,0,1,0,0,0,0
1765191481,auto,20.856666666666666,70.0,697.1363893976356,1.4833333333333334,25.0,60.0,800.0,20.856666666666666,70.0,697.1363893976356,0,0,1,0,0,0,0
1765191482,auto,20.853333333333335,70.0,696.8434725783449,1.64,25.0,60.0,800.0,20.853333333333335,70.0,696.8434725783449,0,0,1,0,0,0,0
1765191483,auto,20.846666666666668,70.0,696.6894308048413,1.8099999999999998,25.0,60.0,800.0,20.846666666666668,70.0,696.6894308048413,0,0,1,0,0,0,0
1765191484,auto,20.843333333333334,70.0,696.620601563389,1.9066666666666665,25.0,60.0,800.0,20.843333333333334,70.0,696.620601563389,0,0,1,0,0,0,0
1765191485,auto,20.843333333333334,70.0,696.620601563389,1.9066666666666665,25.0,60.0,800.0,20.843333333333334,70.0,696.620601563389,0,0,1,0,0,0,0
1765191486,auto,20.84,70.0,696.3054210943723,1.9400000000000002,25.0,60.0,800.0,20.84,70.0,696.3054210943723,0,0,1,0,0,0,0
1765191487,auto,20.84,70.0,696.0517947660605,1.8966666666666665,25.0,60.0,800.0,20.84,70.0,696.0517947660605,0,0,1,0,0,0,0
1765191488,auto,20.836666666666666,70.0,695.7872563362423,1.8433333333333335,25.0,60.0,800.0,20.836666666666666,70.0,695.7872563362423,0,0,1,0,0,0,0
1765191489,auto,20.836666666666666,70.0,695.7872563362423,1.8433333333333335,25.0,60.0,800.0,20.836666666666666,70.0,695.7872563362423,0,0,1,0,0,0,0
1765191490,auto,20.833333333333332,70.0,695.5300794353695,1.76,25.0,60.0,800.0,20.833333333333332,70.0,695.5300794353695,0,0,1,0,0,0,0
1765191491,auto,20.83,70.0,694.9960556047586,1.6199999999999999,25.0,60.0,800.0,20.83,70.0,694.9960556047586,0,0,1,0,0,0,0
1765191492,auto,20.83,70.0,694.2172389233309,1.4566666666666668,25.0,60.0,800.0,20.83,70.0,694.2172389233309,0,0,1,0,0,0,0
1765191493,auto,20.83,70.0,694.2172389233309,1.4566666666666668,25.0,60.0,800.0,20.83,70.0,694.2172389233309,0,0,1,0,0,0,0
1765191494,auto,20.83,70.0,693.5280672463316,1.25,25.0,60.0,800.0,20.83,70.0,693.5280672463316,0,0,1,0,0,0,0
1765191495,auto,20.826666666666664,70.0,692.8686470724322,1.0333333333333334,25.0,60.0,800.0,20.826666666666664,70.0,692.8686470724322,0,0,1,0,0,0,0
1765191496,auto,20.823333333333334,70.0,692.2690529507025,0.77,25.0,60.0,800.0,20.823333333333334,70.0,692.2690529507025,0,0,1,0,0,0,0
1765191497,auto,20.823333333333334,70.0,692.2690529507025,0.77,25.0,60.0,800.0,20.823333333333334,70.0,692.2690529507025,0,0,1,0,0,0,0
1765191498,auto,20.816666666666666,70.0,691.8553370654918,0.5766666666666667,25.0,60.0,800.0,20.816666666666666,70.0,691.8553370654918,0,0,1,0,0,0,0
1765191499,auto,20.813333333333333,70.0,691.3917359458442,0.48333333333333334,25.0,60.0,800.0,20.813333333333333,70.0,691.3917359458442,0,0,1,0,0,0,0
